"","Family Size","Males","Females","Natives","Not Natives","Male Occupation","Female Occupation","Born.slaves","Can.read","Can.write"
"661",3,2,1,1,2,"porter $6w.","washer can't tell",0,2,2
"664",3,1,2,2,1,"grain carrier good wages sometimes","cuts carpet rags",0,0,0
"665",4,2,2,3,1,"huxter, very dull","days work but little",0,0,0
"666",3,1,2,2,1,"seaman","service",0,1,11
"667",4,3,1,0,2,"1 lab. with grain measure 2 hod carriers","days work",0,2,0
"668",5,1,4,1,4,"waterman part of his time","2 cut carpet rags",1,4,2
"669",3,1,2,0,0,"laborer","service",0,1,1
"670",2,1,1,4,1,"hod carrier","shop keeper",0,1,0
"671",5,2,3,4,1,"porter","shop keeper",0,2,1
"672",3,2,1,3,0,"various","service",0,2,1
"674",31,2,0,2,1,"drives cart","days work when can get it",0,3,3
"675",4,1,3,3,1,"porter can't tell","washer very little",1,2,1
"676",3,1,2,2,1,"barber","washer sometimes",0,1,1
"677",4,3,1,3,1,"cook","dom. duties",0,2,2
"678",5,2,3,1,4,"waiter $20m","2 washers",0,3,1
"679",4,2,3,3,1,"waiter $9.00 m","washer",0,2,1
"681",5,2,3,2,3,"2 cake peddlers","dom. duties",0,3,3
"682",33,2,1,2,0,"waiter","dom. duties",0,1,1
"683",8,5,3,4,4,"1 waiter $12m 1 seaman $25m","1 sempstress 1 dom duties",0,5,2
"684",3,1,2,0,3,"1 past work","2 days work can't tell",3,1,1
"685",2,1,1,0,2,"porterr can't tell","washer very little",0,0,0
"687",2,1,0,1,1,"wood sawyer","washer",0,2,1
"688",2,1,1,0,2,"hominy man","sempstress",1,1,1
"690",7,4,3,6,1,"boot & shoe m. average $300: year clear","1 shirt m. 2 dom. duties",0,5,4
"692",2,1,1,0,2,"not able","days work",1,0,0
"694",4,2,2,3,0,"laborer","days work",0,1,0
"695",9,4,5,5,4,"1 private teacher","1 cake baker 1 hair dresser & policy office",0,4,1
"696",3,2,1,0,0,"waiter","days work",0,3,2
"697",3,2,1,0,3,"laborerr $7m","1 washer 1 sempstress",3,1,1
"698",5,2,3,3,1,"waterman $16m","washer",0,2,0
"699",4,2,2,3,1,"2 barbers can't tell","dom. duties",0,1,1
"700",3,1,2,0,3,"hod car. $1.25 sometimes","washer when able",1,0,0
"701",8,4,4,3,5,"1 waiter $10m 1 porter","2 days work",2,8,8
"703",6,2,4,0,6,"Hod car. $1.12 d. now","washer wne able",0,0,0
"704",4,2,2,2,2,"porter don't know","not able",0,2,0
"707",3,1,2,2,1,"porter very little","days work not much",0,1,0
"709",2,1,1,2,0,"boxman","cook",0,0,0
"712",7,1,6,4,3,"laborerr","1 cook 2 dressmakers 1 washer",3,7,1
"713",7,3,4,5,2,"1 seaman 1 not able","washer when able",1,3,1
"714",5,2,3,3,2,"porter dull moro?","1 days work 1 dressmaker",1,4,4
"715",7,1,6,5,2,"waiter $8m","1 dom.duties 1 washer",1,4,3
"716",3,1,2,1,2,"porter can't tell","dom duties",0,2,1
"718",4,3,1,3,1,"boxman $5w","washer when can get it",0,3,2
"720",2,1,1,0,2,"waiter $10m","days work",0,2,0
"721",2,1,1,1,1,"laborer 46.00 w in summer","eating house can't tell",0,1,0
"722",3,2,1,2,1,"porter","dressmaker",0,2,2
"723",2,1,1,1,1,"ostler $10.m","cook",0,1,1
"724",8,3,5,4,4,"1 laborer $4 w 1 porter 1 waiter","3 dom. duties",0,5,5
"725",2,1,1,0,2,"seaman $20.m","washer",0,0,0
"726",2,1,1,1,1,"cook $18m","dom .duties",0,2,2
"727",7,3,4,7,0,"1 porter house 1 porter","funeral furnishes",0,6,0
"728",2,1,1,0,0,"seaman","service",0,1,1
"729",4,1,3,3,1,"barber","1 dressmk. 1 washer when can get it",0,3,3
"732",3,1,2,3,0,"porter","washer don't keep count",0,1,0
"735",5,4,1,3,2,"dealer pretty good","washer",2,0,0
"736",3,1,2,1,1,"shoemaker","1 at service",1,2,1
"737",2,1,1,0,2,"steward $10m","washer about $60: year",0,2,0
"739",5,1,4,3,2,"seaman can't tell","1 tailores 1 shirt & dressmaker 1 dressmaker",0,3,3
"740",2,1,1,0,0,"steward","dom. duties",0,1,1
"741",5,2,3,5,0,"drivews fur. cart his own","days work",0,1,1
"743",3,2,1,2,1,"Porter $.00w","dom. duties",0,2,2
"744",3,2,1,1,2,"white washer irregular","days work can't tell",1,2,0
"745",3,2,1,1,2,"barber don't know","washer",0,1,1
"746",2,1,1,1,1,"waiter $10m","sempstress",0,2,2
"749",3,2,1,2,1,"tailor can't tell","dom. duties",0,1,1
"750",3,2,1,1,2,"stove dealer","dressmaker",0,2,2
"751",5,3,2,3,2,"1 porter 1 waiter $12.00m","washer when can get it",0,2,1
"752",2,1,1,1,1,"eating house","assist husband",0,1,0
"753",5,1,4,1,4,"hackman his own","2 dressmakers 1 dom. duties",2,5,3
"759",10,6,4,5,5,"hominy man and hackman his own","shop keeper",1,5,5
"760",11,6,5,0,11,"1 sadler 1 porter","1dom. dutis",0,4,3
"762",4,2,2,1,3,"1 cabinetmr. & undertaker 1 barber","shop keeper",0,3,3
"764",2,1,1,0,2,"carter his own","service",0,0,0
"765",3,1,2,2,1,"engineer $23m","2 service 1 at $6m 1 at 6.50m",0,2,2
"767",3,2,1,3,0,"hod. car. when can get it","days work when able",0,0,0
"768",3,1,2,3,0,"oyster house","washer",0,1,1
"769",6,2,4,0,6,"barber ab. $1200: year","domestic duties1 ",0,3,2
"770",6,3,3,4,2,"carter-his own","1 dressm. 1 dom. duties",0,6,6
"771",5,2,3,1,4,"carter-his own ab. $450: year","1 days work 1 dom. duties",1,4,3
"772",3,1,2,1,2,"porter $6w","days work",0,2,1
"774",3,1,2,0,3,"not able to do much","service",0,1,1
"775",5,3,2,3,2,"stevedore $.50 d. sometimes","washer",0,0,0
"776",3,2,1,3,0,"porter $2.00w","washer",0,3,2
"778",3,12,0,3,0,"seaman $20m","service $1.50 generally",0,2,2
"780",3,2,1,2,1,"waiter $15.00m","washer when able",0,2,1
"783",3,1,2,2,1,"waiter $10m","washer when can get it",0,2,1
"784",6,3,3,3,3,"eating house","2 washers 1 dom. duties",0,2,2
"785",4,2,2,2,2,"cook","1 washer",0,1,1
"786",3,21,1,1,2,"brick moulder","1 washer very little",0,2,2
"788",7,3,4,4,3,"waiter $15m","1 washer 1 not able",0,5,3
"790",5,3,2,4,1,"waiter $20m","1 washer when can get it 1 sempstress",0,4,3
"791",5,2,3,4,1,"hod carrier","dom. duties",0,3,1
"792",3,1,2,2,1,"sail m. $10.00 when has work","dom. duties",0,23,2
"794",8,6,2,8,0,"porter $6 week","dress maker",0,7,6
"795",3,1,2,2,1,"seaman $18m","1 sempstress when can get it",0,2,2
"796",7,5,2,5,2,"1 carpenter & builder 1 type caster $9 week","1 dressm. & tailoress 1 not able",0,5,5
"797",3,1,2,3,0,"hod carrier","sempstress",0,1,1
"798",3,1,2,2,1,"various","dom. duties",0,2,2
"799",6,2,4,6,0,"school teacher","1 teacher & dressmaker 2 domestic duties",0,5,5
"802",6,3,3,4,2,"1 seaman","1 washer 1 not able",0,3,1
"806",2,1,1,2,0,"waiter $12m","washer",0,2,2
"807",5,3,2,2,3,"1 waiter $12m 1 seaman","washer",1,4,3
"808",3,2,1,0,3,"1 stevedore 1 oyster peddler","washer",0,2,0
"809",3,2,1,1,2,"waiter $10m","washer when able",1,1,1
"810",4,2,2,2,2,"porter $5 or 6w sometimes","washer $2 and 3w sometimes",1,3,3
"811",4,13,2,3,1,"master carpenter","sempstress",0,1,1
"812",5,2,3,3,2,"2 porters","washer",0,3,3
"813",3,1,2,1,0,"waiter","service",0,2,1
"814",2,1,1,1,1,"waiter $12m.","washer & w. washer",0,2,1
"815",2,1,1,0,2,"various","sempstress",0,1,0
"816",4,1,3,2,2,"coachman $13m","washer",0,1,0
"817",9,4,5,4,5,"2 porters 1 lab.","servide",0,5,2
"821",2,1,1,0,2,"seaman","days work",2,0,0
"822",3,1,2,1,2,"porter","days work when can get it",1,1,1
"824",4,3,1,2,2,"waiter","days work",0,0,0
"827",2,1,1,0,2,"seaman","days work when can get it",0,2,1
"830",2,1,1,0,2,"wood sawyer","days work when able",1,0,0
"834",3,1,2,0,3,"waiter $10m","1 washer 1 not able",1,3,1
"835",2,1,1,0,2,"stevedore","1 washer",2,1,0
"836",5,4,1,3,2,"wood sawyer","1 washer",1,2,1
"837",5,2,3,0,1,"clothes dealer","washer $5w sometimes",0,3,2
"839",6,4,2,4,2,"barber $6w","2 washers",1,4,2
"840",2,1,1,0,2,"seaman","service",0,0,0
"841",2,1,1,0,2,"seaman","service",0,1,0
"844",2,1,1,0,2,"waiter","milliner",0,1,1
"847",8,3,5,6,2,"2 barbers ab/ $800:-year","dom. duties",0,6,4
"848",4,2,2,4,0,"eating house","assist husband",0,4,4
"849",2,1,1,0,2,"porter","days work",0,0,0
"853",2,0,2,2,0,"past labor","washer",0,1,0
"856",2,1,1,1,1,"coachman $15m","days work",0,1,1
"857",2,1,1,0,0,"barber","service",0,2,1
"858",13,5,8,12,1,"tavern keeper & undertaker","2 assist Harding",0,10,3
"859",4,2,2,2,2,"porter 46w","dom. duties",0,3,1
"860",2,1,1,0,2,"white washer","washer when able",0,2,0
"861",5,1,4,2,3,"waiter $10m","2 washers",0,3,1
"862",2,1,1,0,2,"white washer","washer when able",0,2,0
"863",5,1,4,2,3,"waiter $10m","2 washers",0,3,1
"864",7,3,4,5,2,"1 washer 1 bootmaker","2 washers & 1 shirt maker",0,7,7
"868",4,2,2,2,2,"clothes dealer","1 not able 1 tailoress",1,3,3
"870",3,1,2,1,2,"porter $5/00","washer",0,3,1
"871",4,2,2,0,4,"2 carpenters","1 dom. duties 1 dressmaker",3,2,2
"872",2,1,1,1,1,"indian doctor","shop keeper",0,1,0
"873",2,1,1,1,1,"man's nurse","washer",0,2,1
"874",5,4,1,5,0,"barber","washer",0,5,4
"880",3,1,2,1,2,"seaman $20.m","washer",1,2,1
"881",3,1,2,2,1,"various","washer",0,1,1
"882",4,2,2,2,2,"laborer $5.00w."," days work",0,0,0
"885",6,4,2,0,6,"muffin baker","washer",1,1,1
"888",5,2,3,1,4,"laborer","huster",0,2,0
"891",3,1,2,0,3,"seaman","days work",0,0,0
"894",3,2,1,1,2,"1 waiter 1 laborer","days work",0,2,2
"898",3,1,2,1,2,"seaman $17m","washer",0,2,1
"899",6,2,4,4,2,"cook","1 washer 1 not able",1,4,2
"902",5,2,3,2,3,"master cooper in N.Y.","2 days work",0,2,2
"903",3,2,1,1,2,"porter","days work",0,2,2
"908",4,2,2,0,4,"stevedore","days work",0,0,0
"909",9,4,5,7,2,"waterman","days work",0,5,2
"910",4,2,2,1,3,"huxter","days work when able",0,1,0
"911",5,3,2,4,1,"blind not able","days work",0,3,0
"913",6,4,2,5,1,"stevedore","washer when able",0,1,1
"914",4,2,2,0,4,"porter","days work",0,2,0
"915",4,1,3,2,2,"seaman","1 washer 1 sempstress",0,3,0
"916",2,1,1,1,1,"laborer","days work",0,2,0
"918",2,1,1,0,2,"stevedore","days work",1,2,1
"919",2,1,1,0,2,"stevedore","days work",1,2,1
"920",2,1,1,0,0,"seaman","cook",0,2,1
"921",2,1,1,0,2,"stevedore","days work",0,0,0
"922",5,2,3,5,0,"public waiter","washer",0,5,5
"925",5,2,3,2,3,"stevedore","washer",0,1,1
"927",6,4,2,3,3,"1 stevedore $6w 1 seaman 418m","washer",0,3,0
"929",4,2,2,3,1,"shoemaker","1 work when able 1 days work",0,0,0
"930",4,3,1,2,2,"porter","cook",1,2,2
"931",5,2,3,4,0,"musician","washer $9.00 quarter",0,5,2
"932",2,1,1,0,2,"waiter &10m","days work",0,1,1
"933",3,1,2,2,1,"laborer %w","days work",0,1,0
"934",4,2,2,3,1,"laborer","days work",0,1,1
"938",3,1,2,0,3,"Stevedore","days work when can get it",0,2,0
"942",2,1,1,0,0,"waiter","cook",0,1,1
"943",6,4,2,4,2,"travelling preacher","white washer",0,4,2
"946",3,2,1,1,2,"2 waiters","washer when able",1,2,2
"949",7,2,5,2,5,"1 waiter","2 days work when able ",0,4,1
"950",6,2,4,6,0,"1 waiter","2 rag sorters",0,4,0
"953",4,1,3,1,3,"brick moulder","days work",0,1,0
"955",5,2,3,0,5,"2 hod carriers","days work",0,1,0
"959",6,2,4,1,5,"music teacher","2 dress makers",0,6,4
"960",2,1,1,0,2,"wood piler","sempstress",2,2,0
"961",2,1,1,0,2,"dealer","washer",2,1,0
"964",3,1,2,1,2,"porter","washer",0,3,0
"965",2,1,1,1,1,"plasterer","not able",0,1,1
"970",3,1,2,3,0,"drives cart","days work",0,2,1
"972",3,1,2,1,2,"porter $5w","washer when able",0,3,2
"974",2,1,1,0,2,"waiter $12m.","sempstress",0,2,0
"975",3,1,2,1,2,"herb doctor","days work very little",1,1,0
"977",1,2,1,1,2,"herb doctor","days work very little",1,1,0
"979",2,1,1,1,1,"waiter & cook","shop keeper",0,2,2
"980",3,2,1,0,3,"laborer","washer",2,1,0
"982",2,1,1,1,1,"laborer $5w.","washer average $2.50w.",0,1,1
"986",3,1,2,1,2,"hod carrier","days work",0,1,0
"991",2,1,1,1,1,"porter","dress maker",0,2,1
"992",5,2,3,4,1,"drives dray","washer",0,3,2
"993",6,4,2,5,1,"scourer & public waiter","days work",0,4,4
"995",2,1,1,0,0,"waiter $10m","cook $3w sometimes",1,2,1
"996",4,2,2,2,0,"seaman","cook $1.50w",0,1,0
"998",4,2,2,2,2,"bricklayer","dress maker",0,3,2
"1000",3,2,1,2,1,"2 waters","washer",0,2,2
"1002",9,2,7,7,2,"1 waiter 1 barberr","2 washer",0,5,3
"1003",6,2,4,3,3,"clothes dealer","milliner & dress maker & embroider",1,5,1
"1007",4,1,3,3,1,"cabinet maker now porter $6w","days work",0,4,3
"1008",2,1,1,0,2,"not able","cook",2,0,0
"1009",2,1,1,1,1,"various","washer",1,2,1
"1012",8,4,4,0,2,"1 shoemk. 1 barber","3 dressmakers",0,7,7
"1013",5,2,3,5,0,"2 barbers","washer",0,5,5
"1014",2,1,1,0,2,"public waiter ab. $300:-year","washer",0,2,2
"1015",3,1,2,1,2,"hod carrier $1.25 day in summer","washer",0,1,0
"1016",5,2,3,4,1,"coachman $16m","washer",0,2,1
"1018",5,2,3,2,3,"sexton","1 days work 1 not able",0,4,2
"1019",4,2,2,3,1,"shoemaker","1 dressm. 1 dom. duties",0,3,2
"1020",4,2,2,3,1,"porter $7w","washer",0,4,3
"1021",3,1,2,3,0,"laborer","dom. duties",0,2,2
"1022",6,2,4,5,1,"lab. in sugar house $30m","1 days work 1 washer",0,4,3
"1023",3,2,1,1,2,"wood sawyer","washer",2,2,1
"1025",3,2,1,1,2,"waiter","washer",0,2,1
"1026",6,3,3,4,2,"1 steward $20m 1 boatman $12m","washer",1,5,4
"1028",5,2,3,6,1,"bootmaker","2 washers",1,4,2
"1029",6,2,4,4,2,"seaman $22m","washer",0,4,3
"1030",3,1,2,1,2,"clothes dealer","milliner",0,3,3
"1031",5,2,3,2,3,"1 oyster house 1 traveling preacher","1 sempstree 1 dom. duties",0,5,5
"1032",2,1,1,0,2,"waiter","days work",0,2,1
"1034",3,1,2,1,2,"seaman when able","days work",0,2,0
"1037",3,2,1,0,3,"seaman $20m","washer when can get it",1,2,0
"1038",8,7,6,8,0,"shoem.","1 sempstrss 1 days work",0,5,5
"1039",5,3,2,5,0,"1 lab. $4.50w 1 waiter $.10.00m 1 muscian","washer",0,4,4
"1040",3,2,1,0,3,"2 cooks","washer",0,3,3
"1041",4,2,2,2,2,"1 barber abt. $11.00:-year","dom. duties",0,2,1
"1042",4,2,2,3,1,"1 cake seller $6w 1 barber","washer",1,2,2
"1043",6,5,1,4,0,"1 shoemaker 1 janitor $250y 2 seeking business","dom. duties",0,6,6
"1044",2,1,1,0,2,"waiter","dom. duties",0,1,1
"1045",4,2,2,3,1,"1 idle 1 cake baker $10m","washer",0,3,3
"1046",7,5,2,4,3,"1 coachman 1 teacher","dom. duties",0,2,0
"1050",6,1,5,3,3,"waiter $6m","washer",1,0,0
"1051",31,2,0,0,3,"Not able","washer",2,1,1
"1052",5,2,3,5,0,"1 seaman 1 waiter","cook $1.50w",0,5,3
"1054",5,3,2,3,0,"2 porters","washer",0,3,1
"1055",7,2,5,4,3,"1 lab. 1 waiter $10m","2 washers",2,5,4
"1056",6,2,4,2,4,"white washer $350:-year","2 washers 1 not able",4,6,5
"1057",7,3,4,7,0,"white washer","washer",0,5,5
"1058",5,2,3,3,2,"oyster peddler","2 washers",1,1,1
"1059",3,1,2,2,1,"coachman","washer",0,2,2
"1060",5,3,2,4,1,"drives cart $6w","washer",0,1,0
"1063",8,4,4,4,4,"bootm. ab. $3500:-year","2 dom. duties",2,5,3
"1064",9,5,4,8,1,"2 bootmakers","dom. duties",0,8,8
"1067",5,2,3,5,0,"shop keeper","washer",0,3,3
"1069",4,1,3,2,2,"w. washer ab. $350:-y","2 washers 1 dressm.",0,3,2
"1071",4,3,1,1,3,"seaman","washer",0,0,0
"1072",4,1,3,2,2,"seaman","white washer",0,3,0
"1073",2,1,1,0,0,"laborer","cook",0,1,0
"1074",3,1,2,1,2,"porter & box dealer","days work",0,3,2
"1075",4,2,2,4,0,"1 barber 1 seaman","cake seller",0,2,2
"1076",3,2,1,3,0,"2 seaman 1 $20m 1 $10m","washer",0,3,2
"1077",4,1,3,2,2,"hod carrier","washer when can get it",0,1,0
"1078",2,1,1,0,2,"various","washer",0,1,0
"1079",3,2,1,1,1,"stevedore","washer",0,0,0
"1080",9,6,3,9,0,"2 waiters 1 coachman 2 wood sawyers","1 barber",0,7,7
"1081",3,2,1,2,1,"boatman","days work",0,2,1
"1082",2,1,1,0,2,"laborer","1 assists at home",0,2,1
"1083",7,4,3,7,0,"watchman $15m","washer",0,4,2
"1084",3,2,1,2,1,"2 boot cleaners $125:-m","washer $25q",0,3,2
"1085",4,3,1,3,1,"cook","washer",0,2,2
"1086",4,1,3,2,2,"porter","1 cook 1 washer",0,2,2
"1087",4,2,2,2,2,"laborer","days work",0,4,3
"1088",3,1,2,1,2,"laborer $15m","not able",1,1,0
"1089",4,1,3,0,4,"laborerr","2 days work",2,2,0
"1091",8,4,4,5,3,"herb doctor","2 washers",2,1,0
"1092",4,3,1,1,2,"coachman $13m","washer",1,1,1
"1093",3,1,2,2,1,"waiter $10m","dress maker",0,3,2
"1095",5,1,4,3,2,"waiter $10m","washer",0,0,0
"1098",2,3,0,2,3,"1 dealer 1 boot maker","2 washers 1 dressm.",1,5,5
"1099",3,2,1,1,2,"carpenter","dom. duties",0,2,2
"1102",7,4,3,5,2,"1 clothes dealer 1 porter","scourer",0,5,3
"1104",13,9,4,4,9,"6 barbers","1 dom duties 1 sempstress 1 washer",0,6,6
"1108",3,2,1,1,2,"shoe maker","dom. duties",0,2,0
"1109",4,1,3,3,1,"brickmoulder $250:-y","sempstress",0,2,1
"1111",4,1,3,2,2,"collecter","shop keeper",1,4,1
"1112",6,4,2,5,1,"oyster house","assists husband",0,2,2
"1113",5,3,2,5,0,"laborer","days work",0,2,1
"1115",4,3,1,2,2,"porter","days work",0,1,1
"1117",6,3,3,3,3,"porter","washer",0,4,2
"1119",5,3,2,3,2,"umbrella maker","sempstress",0,3,2
"1120",4,3,1,2,2,"2 laborers","washer when able",3,2,0
"1122",4,2,2,3,1,"lab. $6.w","2 washers",0,1,1
"1123",2,1,1,0,2,"carter his own","washer when can get it",0,1,0
"1124",2,1,1,0,2,"stevedore","service",0,1,1
"1125",3,2,1,1,1,"seaman","days work",0,0,0
"1128",3,1,2,1,2,"wood sawyer","washer when able",0,1,1
"1129",7,4,3,5,2,"porter","days work",1,2,0
"1131",2,1,1,0,2,"hod carrier","days work",0,2,1
"1133",3,1,2,2,1,"clothes dealer ab. $250:-y.","dom. duties",1,2,2
"1134",8,3,5,8,2,"poeter","white washer",0,5,2
"1135",2,1,1,0,2,"stevedore","days work",0,1,0
"1136",5,1,4,0,0,"waiter $12.00w","1 washer 1 not able",0,3,3
"1139",6,2,4,4,2,"1 porter $4w 1 waiter","washer",1,3,3
"1140",4,2,2,1,3,"seaman $20m","washer",0,2,1
"1142",7,4,3,5,2,"coachman $27m","dom. duties",0,4,3
"1145",4,1,3,3,1,"waiter","washer when able",1,2,1
"1146",4,1,3,0,4,"waterman $20m","2 washers",0,3,2
"1147",6,1,5,5,1,"laborer $6w","washer & white washer",0,5,0
"1148",5,3,2,4,1,"porter","1 layer out of dead 1 sempstress",0,2,1
"1149",5,2,3,3,2,"1 porter $45w 1 waiter $5m","washer",1,5,2
"1156",5,3,2,3,2,"porter","sempstress",0,1,0
"1157",3,1,2,1,2,"waiter","service",0,1,0
"1160",7,3,4,0,7,"1 porter","2 washers",2,3,3
"1161",5,3,2,3,2,"traveling preacher $2.50:-year","dom. duties",2,4,2
"1162",2,1,1,0,2,"waiter","sempstress",1,1,0
"1163",9,3,6,8,1,"waiter $10m.","days work when can get it",0,3,1
"1164",7,4,3,0,7,"shep carpenter","sempstress",1,1,0
"1165",3,2,1,1,2,"stevedore","service $1.50w",1,0,0
"1169",3,2,1,2,1,"seaman $19m","days work when able",0,3,3
"1170",6,2,4,4,2,"porter","1 dom. duties 1 white washer",0,1,1
"1173",5,2,3,2,3,"seaman","1 domestic duties",0,2,2
"1176",2,1,1,1,1,"white washer","service",0,2,0
"1179",2,1,1,0,2,"sexton","domestic duties",2,1,1
"1181",3,2,1,2,1,"1 herb doctor","washer when able",0,2,1
"1183",6,2,4,5,1,"puts in coal","days work",0,1,0
"1184",5,2,3,4,1,"sail maker","washer about $25:-y.",0,4,4
"1185",6,4,2,6,0,"musician","washer",0,2,2
"1186",7,3,4,7,0,"musician","2 washers 1 not able",0,4,4
"1187",5,2,3,3,2,"1 seaman $18m 1 carter his own","washer",0,1,0
"1188",3,2,1,2,1,"2 waiters","washer",0,2,2
"1189",3,2,1,0,3,"drives fur. car 44.50w","washer",2,0,0
"1191",9,4,5,5,4,"hod carrier","washer",0,4,3
"1192",2,1,1,2,0,"hack driver","washer",0,2,1
"1199",3,1,2,1,2,"waiter 412m","washer",2,1,1
"1202",4,2,2,0,4,"wood sawyer","days work when able",0,0,0
"1204",3,1,2,1,2,"laborer","1 white washer 1 sempstress",0,3,1
"1218",7,4,3,7,0,"waiter $14m.","days work",0,3,3
"1219",4,2,3,1,3,"laborer","days work",0,3,2
"1221",2,1,1,0,2,"dealer","not able",0,1,1
"1222",5,2,3,3,2,"boot cleaner","days work",2,3,3
"1224",4,2,2,0,4,"waiter $16m.","washer",0,3,3
"1225",3,1,2,0,3,"huxter","days work",1,2,1
"1226",4,2,2,2,2,"laborer $5.00w.","days work",0,1,1
"1227",6,2,4,0,6,"laborer","days work",1,1,1
"1229",8,4,4,1,7,"waiter $12.00m","1 washer 1 not able",7,5,1
"1230",7,3,4,0,7,"2 laborers","1 washer",2,2,1
"1232",7,3,4,1,6,"Stevedore","washer",1,2,0
"1233",7,3,4,5,2,"coachman $14m.","washer",1,4,1
"1234",6,2,4,6,0,"musician","2 washers",0,5,5
"1236",4,2,2,3,1,"various","days work",1,1,1
"1241",3,2,1,1,2,"cook","washer",0,2,1
"1245",3,2,1,1,2,"steward","dom. duties",0,2,1
"1247",4,2,2,4,2,"1 barber 1 porter","eating house",0,4,0
"1249",6,2,4,3,3,"1 eating house ab. $300:-y","2 assist at the house",1,3,3
"1250",4,1,3,11,3,"musician","1 days work 1 idle",0,3,2
"1251",2,1,1,0,2,"puts in coal when able","days work when can get it",1,0,0
"1253",4,3,1,2,2,"waiter $10m","washer when able",1,1,1
"1254",4,1,3,2,2,"waterman","3 probably idle",0,2,1
"1255",3,1,2,2,0,"oysters pedler","1 washer 1 no able",0,0,0
"1258",2,1,1,0,0,"laborer","washer",0,1,1
"1260",3,1,2,1,2,"carter-his own","days work",0,1,0
"1261",3,1,2,0,3,"carpenter","washer sometimes",0,3,1
"1262",3,2,1,2,1,"drives dray","dom. duties",0,1,0
"1263",5,1,4,3,2,"herb doctor","washer",1,3,1
"1264",7,3,4,0,7,"2 laborers 1 waiter","1 days work 1 dressmaker",0,3,3
"1267",3,1,2,2,1,"seaman","days work sometimes",0,2,1
"1268",4,1,3,3,1,"laborer","1 dom. duties 1 washer",0,3,1
"1269",2,11,0,0,0,"sail maker","days work",0,1,1
"1270",3,2,1,2,1,"1 waiter 1 laborer","days work",0,2,0
"1273",2,1,1,0,2,"various","washer",0,2,1
"1275",7,5,2,7,0,"1 not able","cook house and dance house",0,3,0
"1276",4,2,2,1,3,"1 porter 1 waiter","days work",0,1,1
"1279",5,2,3,5,0,"porter","dom. duties",0,2,2
"1280",5,2,3,4,1,"2 laborers","2 various",0,2,2
"1282",4,2,2,2,2,"huxter ","washer",0,3,0
"1283",2,1,1,0,2,"seaman $20m","sempstress",0,2,1
"1285",6,2,4,0,2,"grocer","dom. duties",1,6,6
"1287",3,2,1,2,1,"not able","1 washer when able",0,2,1
"1290",9,3,5,5,5,"coachman","2 washers",0,1,1
"1291",4,3,1,2,2,"2 hod carriers 1 various","huster",0,2,0
"1292",2,1,1,1,1,"porter $8m","washer",0,1,1
"1293",4,3,1,4,0,"2 laborers 1 cabman","washer when able",0,3,3
"1294",5,2,3,3,2,"laborer","1 eating house 1 no able",1,2,1
"1295",3,2,1,2,1,"oysterman","washer",0,3,0
"1297",3,1,2,3,0,"shoem.","washer when able",0,2,2
"1300",5,1,4,2,3,"laborer","1 sempstress 1 washer",0,1,0
"1301",4,1,3,0,4,"porter","probably nothing",1,3,1
"1303",4,1,3,3,1,"seaman $20m","washer",0,0,0
"1304",5,2,3,3,0,"drives cart","washer",0,1,0
"1306",4,1,3,0,4,"laborer","washer",0,1,0
"1307",5,2,3,2,3,"Stevedore","washer",1,1,0
"1308",3,1,2,3,0,"waiter $6m","days work",0,2,0
"1309",2,1,1,0,1,"travelling preacher","days work",0,1,1
"1310",3,12,1,1,2,"seaman $18m","dom. duties",0,1,0
"1311",5,4,1,5,0,"2 laborers","cook",0,3,0
"1314",6,2,4,3,3,"laborer","various",1,4,0
"1315",3,1,2,1,2,"drives cart","days work",0,0,0
"1316",3,2,1,2,1,"1 porter $6w 1 oyster peddler","washer",0,3,3
"1317",3,1,2,0,0,"state servive","2 probably idle",0,0,0
"1319",8,4,4,4,4,"shoemaker","dom. duties",1,3,3
"1320",3,1,2,2,1,"laborer $5w","shop keeper ",0,1,0
"1321",3,1,2,0,3,"eating house","dom. duties",0,1,0
"1322",4,2,2,3,1,"1 lab. 1 waiter","dom.duties",0,3,1
"1325",3,2,1,3,0,"laborer","days work",0,0,0
"1326",4,2,3,1,3,"2 laborers","days work",1,0,0
"1327",6,3,3,5,1,"2 waiters 1 rag dealer","2 cut carpet rags",0,2,1
"1328",3,1,2,2,1,"laborer","service",0,2,1
"1329",5,2,3,2,3,"seaman $20m","service",0,2,0
"1330",2,1,1,2,0,"lablorer","cuts carpet rags",0,2,0
"1331",5,2,3,4,1,"Stevedore","days work",0,2,1
"1332",3,2,1,2,1,"salt & grain carrier","cuts carpet rags",0,2,2
"1333",5,4,1,3,2,"1waiter 1 cab driver1 brickm. 1 Stevedore","days work",0,1,0
"1336",2,1,1,1,1,"huxter","matt maker",1,0,0
"1337",3,1,2,2,0,"laborer","propably nothing",0,1,1
"1340",2,1,1,11,0,"Stevedore","days work",0,1,0
"1341",3,1,2,1,2,"grain carrier","service when able",0,1,1
"1342",4,3,1,3,1,"stove & furniture dealer","assist husband & dom. duties",0,4,4
"1343",4,2,2,0,4,"stone dealer","2 sempstresses",2,2,1
"1344",2,1,1,0,2,"1 seaman $15m","dom. duties",0,2,1
"1345",3,2,1,0,3,"laborer on farm","dom. duties",0,3,1
"1346",2,1,1,0,2,"basket maker","days work when able",0,1,1
